Month,UnemploymentRate
2011-01,9.4
2011-02,9.3
2011-03,9.3
2011-04,9.3
2011-05,9.3
2011-06,9.4
2011-07,9.4
2011-08,9.5
2011-09,9.4
2011-10,9.3
2011-11,9.2
2011-12,9.2
2012-01,9.1
2012-02,9.1
2012-03,9.2
2012-04,9.3
2012-05,9.4
2012-06,9.5
2012-07,9.6
2012-08,9.5
2012-09,9.4
2012-10,9.3
2012-11,9.2
2012-12,9.1
2013-01,8.9
2013-02,8.8
2013-03,8.7
2013-04,8.5
2013-05,8.4
2013-06,8.4
2013-07,8.3
2013-08,8.1
2013-09,7.9
2013-10,7.7
2013-11,7.4
2013-12,7.2
2014-01,7.1
2014-02,7.1
2014-03,7.2
2014-04,6.9
2014-05,6.8
2014-06,6.6
2014-07,6.5
2014-08,6.6
2014-09,6.5
2014-10,6.6
2014-11,6.4
